Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Брюки Happyfox Для женщин;https://www.ozon.ru/product/1203824712;Happyfox;Одежда;Брюки;Да;443255;10815;269;1135.5;1648;34221;93;17110;10;FBO,FBS;5;0.9;22.8;32.9;44421;5309;0.03;14.97;0;66.7;2023-09-22
Рубашка SAYLOVE;https://www.ozon.ru/product/1596638669;SAYLOVE;Одежда;Рубашка;Да;443238;-10;426;726.8;1040;0;100;15210;15;FBO;4;1.4;25.4;36.8;140232;16064;0.02;8.55;5.6;54.4;2024-06-05
Пальто O'STIN;https://www.ozon.ru/product/1630215425;O'STIN;Одежда;Пальто;Да;443190;435;61;5975;7265;0;100;15855;2;FBO;3;12;22;30.9;73671;2787;0.01;4.73;0;24.5;2024-07-17
Куртка velive;https://www.ozon.ru/product/1654315450;velive;Одежда;Куртка;Да;443183;283;93;3931;4765;0;100;15703;3;FBO;3;18.2;23.8;33.1;236799;11728;0;3.21;13.7;43.3;2024-08-10
Комбинезон утепленный ArctLand;https://www.ozon.ru/product/1618493734;ArctLand;Одежда;Комбинезон утепленный;Да;443151;117;54;7541;8206;121326;79;20221;2;FBO;7;13.5;20.7;29.4;28254;2424;0.02;6.27;3.1;59.6;2024-07-02
Дубленка искусственная Befun Базовая коллекция;https://www.ozon.ru/product/1618423573;Befun;Одежда;Дубленка искусственная;Да;443123;501;78;5255;5681;0;100;15826;3;FBO;3;36.5;25.8;35.4;58845;1729;0;13.01;0.1;40.2;2024-07-02
Костюм классический EPIC LOVE Офисный;https://www.ozon.ru/product/1377505006;EPIC LOVE;Одежда;Костюм классический;Да;443113;53;120;1;3693;0;100;15566;4;FBO;5;5.9;22.2;31.3;45820;7403;0.01;6.55;2.2;49.1;2024-01-09
Жакет Zarina;https://www.ozon.ru/product/1683730744;Zarina;Одежда;Жакет;Да;443086;247;138;2151.8;3211;0;100;15413;5;FBO;4;8.2;22.9;32.2;82774;4356;0.01;9.57;0;51.5;2024-09-06
Куртка DAUNTLESS;https://www.ozon.ru/product/1307075517;DAUNTLESS;Одежда;Куртка;Да;443026;125;66;6005;6713;15880;96;15880;2;FBO,FBS;7;18.9;22.6;31.6;28492;2175;0.02;10.29;1;65.6;2023-11-24
Костюм спортивный Happyfox для мужчин;https://www.ozon.ru/product/1377627869;Happyfox;Одежда;Костюм спортивный;Да;443008;-39;138;2678.7;3210;0;100;14850;5;FBO;4;14;24.4;34.1;55501;3260;0.01;10.64;0;58.7;2024-01-09
Куртка Benehill Твой стильный образ;https://www.ozon.ru/product/1644795332;Benehill;Одежда;Куртка;Да;442924;29;90;3605;4921;0;100;15275;3;FBO;3;20;23.8;33.1;53623;3801;0.02;7.68;0.7;26.9;2024-08-01
Куртка MONOMIR Осенняя коллекция;https://www.ozon.ru/product/1419019610;MONOMIR;Одежда;Куртка;Да;442891;30;110;2869;4026;0;100;14363;3;FBO;4;28.8;26.1;35.9;101821;11544;0;3.94;0;53.7;2024-02-09
Пуховик Marmalato;https://www.ozon.ru/product/1197155770;Marmalato;Одежда;Пуховик;Да;442842;118;30;11232;14761;16402;96;16402;1;FBO,FBS;2;32.7;19.1;27.7;10859;1381;0;9.05;0;55.5;2023-09-19
Пальто Sale;https://www.ozon.ru/product/1066320085;Sale;Одежда;Пальто;Да;442840;243;54;7678;8201;0;100;15523;2;FBO;4;10.5;20.8;29.4;7801;586;0.02;23.72;0;35.2;2023-07-06
Куртка BOSECK;https://www.ozon.ru/product/1340876564;BOSECK;Одежда;Куртка;Да;442816;2404;102;3688;4341;95250;82;19050;4;FBO;5;15.4;23.7;33.1;48921;4080;0.01;9.68;3.3;56.8;2023-12-14
Куртка GAZZE;https://www.ozon.ru/product/1381308294;GAZZE;Одежда;Куртка;Да;442782;261;83;3141;5335;0;100;15442;3;FBO;2;19.3;23.6;32.8;27666;2818;0.03;5.39;5.1;31.2;2024-01-11
Куртка Betop;https://www.ozon.ru/product/1378073087;Betop;Одежда;Куртка;Да;442780;68;90;4225.6;4920;0;100;15438;3;FBO;3;12.9;22.7;31.7;110200;7070;0;4.17;7.5;33.7;2024-01-09
Рашгард;https://www.ozon.ru/product/1601640728;без бренда;Одежда;Рашгард;Да;442770;877;323;1;1371;74436;86;18609;13;FBO;4;2.3;24.7;35.5;19742;9890;0.29;13.32;6.3;65.2;2024-06-11
Водолазка Urban Style Urban Style;https://www.ozon.ru/product/531398679;Urban Style;Одежда;Водолазка;Да;442766;294;441;1;1004;34204;93;17102;17;FBO;4;1.5;25.6;37.2;31635;3148;0.06;22.04;0;67;2022-03-23
Свитер Happyfox Для женщин;https://www.ozon.ru/product/1134432567;Happyfox;Одежда;Свитер;Да;442666;226;264;1278;1677;15176;96;15176;9;FBO,FBS;5;0.9;22.6;32.5;106653;11239;0.04;8.74;0.1;45.7;2023-08-14
Бомбер Befree;https://www.ozon.ru/product/1624666766;Befree;Одежда;Бомбер;Да;442586;31;124;2476.5;3569;0;100;15837;4;FBO;3;9;22.6;31.8;63553;2665;0.03;10.61;0;46.2;2024-07-09
Куртка Clorina Осенняя коллекция;https://www.ozon.ru/product/1627574917;Clorina;Одежда;Куртка;Да;442556;2;98;2947;4516;0;100;15306;3;FBO;4;12;22.8;32;74075;4140;0.01;6.66;10.6;42.3;2024-07-12
Джинсы The80`s;https://www.ozon.ru/product/1597760362;The80`s;Одежда;Джинсы;Да;442533;132;205;1517.3;2159;16404;96;16404;8;FBO;3;3.7;23.4;33.2;24444;5130;0.08;11.09;0;34.8;2024-06-06
Куртка Befree;https://www.ozon.ru/product/1171685302;Befree;Одежда;Куртка;Да;442508;9860;121;2713.5;3657;0;100;15743;4;FBO;3;33.5;27.3;37.4;106575;4835;0;6.16;0;36.2;2023-09-04
Пальто Amilardy;https://www.ozon.ru/product/1307447871;Amilardy;Одежда;Пальто;Да;442502;-19;58;6810;7629;32971;93;16485;2;FBO;4;18.7;22;30.9;27282;1924;0.01;10.49;0;44.6;2023-11-24
Пальто SELA;https://www.ozon.ru/product/1683978777;SELA;Одежда;Пальто;Да;442468;14;37;11029;11959;1255896;25;59805;5;FBO;7;36;19.7;28.4;4283;504;0.16;14.68;0;47.2;2024-09-06
Комплект одежды Happyfox Для женщин;https://www.ozon.ru/product/1663266531;Happyfox;Одежда;Комплект одежды;Да;442393;114;134;531;3301;0;100;15518;5;FBO;4;14.3;24.6;34.3;17587;3013;0.07;13.97;0;63.6;2024-08-19
Пижама Акула;https://www.ozon.ru/product/1434778019;без бренда;Одежда;Пижама;Да;442364;21;225;1467;1966;0;100;15137;8;FBO;4;15.3;27.9;38.8;64946;4794;0.02;9.65;0;78.6;2024-02-25
Костюм спортивный;https://www.ozon.ru/product/1690377233;без бренда;Одежда;Костюм спортивный;Да;442362;830;149;2210.3;2969;325919;57;27160;9;FBO;5;12;24.4;34.2;41390;2570;0.01;15.13;0;51.7;2024-09-11
Пальто LIMO;https://www.ozon.ru/product/1657397530;LIMO;Одежда;Пальто;Да;442348;-21;39;10712;11342;0;100;14608;1;FBO;3;16.7;19.3;27.9;36535;2731;0.01;6.44;1.2;13.8;2024-08-13
Куртка BOSECK;https://www.ozon.ru/product/1262438350;TISINGTE;Одежда;Куртка;Да;442321;Нет данных;104;1;4253;74937;86;18734;4;FBO;3;37.4;28;38.3;73850;2795;0;10.08;3.5;41.6;2023-10-27
Куртка HENDERSON;https://www.ozon.ru/product/816966997;HENDERSON;Одежда;Куртка;Да;442281;Нет данных;20;21409;22114;209502;68;23278;1;FBO,FBS;3;17.3;16.9;25.1;8871;683;0.03;6;0;78.9;2022-12-12
Куртка джинсовая MOSSMORE;https://www.ozon.ru/product/1420940049;MOSSMORE;Одежда;Куртка джинсовая;Да;442280;53;83;3709;5329;0;100;14945;3;FBO;3;29;24.7;34.1;46879;3067;0.01;6.87;0;20.7;2024-02-12
Джинсы Feimailis;https://www.ozon.ru/product/967484304;Feimailis;Одежда;Джинсы;Да;442229;-28;229;1355.3;1931;0;100;14638;8;FBO;3;6.6;24.5;34.7;22504;2555;0.02;21.44;0;29.5;2023-05-05
Пальто I'M COMOKOD WOMAN Milk;https://www.ozon.ru/product/1393002221;I'M COMOKOD WOMAN;Одежда;Пальто;Да;442226;85;78;4761;5670;15793;96;15793;3;FBO;3;13.7;22.4;31.4;30488;4853;0.02;5.41;0;36;2024-01-18
Джинсы Zeem;https://www.ozon.ru/product/1570080128;Zeem;Одежда;Джинсы;Да;442211;-10;229;1454.3;1931;71042;86;17761;9;FBO;5;3;23.2;33.2;40512;5105;0.01;10.47;0.6;46.9;2024-05-09
Полукомбинезон утепленный Leokid;https://www.ozon.ru/product/1655124907;Leokid;Одежда;Полукомбинезон утепленный;Да;442169;261;72;5591;6141;286411;61;26037;4;FBO;5;4;20.9;29.5;4713;806;0.08;17.86;0;58.5;2024-08-11
Дубленка;https://www.ozon.ru/product/760139421;без бренда;Одежда;Дубленка;Да;442168;388;19;22264;23272;0;100;15792;1;FBO,FBS;6;24;16.9;25.2;14234;1954;0.03;4.14;0;50;2022-10-24
Джемпер Befree;https://www.ozon.ru/product/1659516693;Befree;Одежда;Джемпер;Да;442152;71;181;1772.3;2443;141557;75;20222;8;FBO;4;4.5;22.7;32.2;64038;3592;0.03;10.82;0;50.3;2024-08-15
Джинсы ONE!JEANS;https://www.ozon.ru/product/802092287;ONE!JEANS;Одежда;Джинсы;Да;442080;21;214;1579.5;2066;15954;96;15954;8;FBO;4;2.3;23;32.8;27242;2597;0.02;14.82;6.5;40.7;2022-11-24
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1648852225;by Arhangelskaya Alina;Одежда;Пальто;Да;442071;71;34;11777;13002;0;100;14944;1;FBO;6;5.9;17.9;26.2;7801;11937;0.03;3.03;0;23.5;2024-08-05
Amoteks Пеленка текстильная 90 х 100 см, Хлопок, 5 шт Детская;https://www.ozon.ru/product/1663104165;Amoteks;Одежда;Пеленка текстильная;Да;442031;98;498;592.5;888;16373;96;16373;18;FBO;4;4.8;29.5;44.2;145141;6002;0.34;20.44;8;95;2024-08-19
Куртка ТВОЕ;https://www.ozon.ru/product/311412444;ТВОЕ;Одежда;Куртка;Да;442013;279;152;2103;2908;15950;96;15950;5;FBO;4;9.6;23.9;33.6;118705;5423;0.02;8.86;0;37.2;2021-08-30
Комплект одежды Happyfox Для женщин;https://www.ozon.ru/product/1663266514;Happyfox;Одежда;Комплект одежды;Да;441955;143;115;572;3843;16049;96;16049;4;FBO;3;1.2;21.2;30.2;13358;2598;0.14;13.77;0;54.4;2024-08-19
Комбинезон утепленный Kalborn;https://www.ozon.ru/product/1648530799;Kalborn;Одежда;Комбинезон утепленный;Да;441915;Нет данных;82;4491.8;5389;71289;86;17822;3;FBO;4;22.3;24;33.3;46144;2772;0.04;9.66;5.3;67.9;2024-08-05
Костюм классический Bobby pin Мир моды;https://www.ozon.ru/product/1600273724;Bobby pin;Одежда;Костюм классический;Да;441904;-19;96;3302.9;4603;0;100;15341;3;FBO;4;6;21.7;30.6;25511;3109;0.02;8.55;0;22.2;2024-06-10
Брюки LAINA;https://www.ozon.ru/product/273073415;LAINA;Одежда;Брюки;Да;441896;28;347;877.5;1273;0;100;15275;12;FBO;3;3.8;25.7;36.8;265496;13102;0;7.92;19.6;66.1;2021-06-10
Брюки ZERTELLI Классические;https://www.ozon.ru/product/856461477;ZERTELLI;Одежда;Брюки;Да;441890;-29;206;1839;2145;0;100;14603;7;FBO;4;3;22.9;32.8;30612;11551;0.02;6.04;5.8;58.2;2023-02-07
Куртка Yarmarka palto;https://www.ozon.ru/product/1641730193;Yarmarka palto;Одежда;Куртка;Да;441885;140;78;4462;5665;93711;82;18742;3;FBO;5;48.2;27.5;37.5;55318;2574;0.01;9.59;0;30;2024-07-29
Костюм спортивный ESTER;https://www.ozon.ru/product/846881836;ESTER;Одежда;Костюм спортивный;Да;441848;181;122;3047.8;3622;52641;89;17547;5;FBO;5;11.8;23.6;33;13796;1368;0.04;17.47;4.1;48.5;2023-01-27
Пиджак Для женщин;https://www.ozon.ru/product/1666969572;без бренда;Одежда;Пиджак;Да;441813;494;51;7622.3;8663;0;100;14883;2;FBO;5;16.1;20.9;29.6;39897;2207;0.03;8.33;3.6;24;2024-08-22
Костюм спортивный SPORT GEAR;https://www.ozon.ru/product/1569118408;SPORT GEAR;Одежда;Костюм спортивный;Да;441785;-34;150;2233.5;2945;0;100;15324;5;FBO;3;5;22.4;31.7;93587;7157;0.02;6.74;2.2;51;2024-05-08
Джинсы SHOCK ROOM;https://www.ozon.ru/product/639632794;SHOCK ROOM;Одежда;Джинсы;Да;441747;54;197;1835.6;2242;0;100;15390;7;FBO;3;3.2;23;32.7;17176;1726;0.05;24.62;0;41.4;2022-07-09
Пуховик DEAMILETTI;https://www.ozon.ru/product/1188145551;DEAMILETTI;Одежда;Пуховик;Да;441710;81;37;8487;11938;0;100;15405;1;FBO;6;29.7;20;28.7;94976;12641;0;1.91;6;38.8;2023-09-12
Парка Paul&Shark;https://www.ozon.ru/product/1688824328;Paul&Shark;Одежда;Парка;Нет;441702;Нет данных;6;85802;73617;0;100;15775;0;FBS;0;40;15.2;23.3;997;22;0.1;13.63;0;0;2024-09-10
Куртка Осенняя коллекция;https://www.ozon.ru/product/1207455180;без бренда;Одежда;Куртка;Да;441687;90;96;3742;4601;0;100;15029;3;FBO;4;17.5;23.8;33.1;45715;9352;0.01;3.58;1.2;36.7;2023-09-24
Жилет утепленный BRUCLIN;https://www.ozon.ru/product/1688585319;BRUCLIN;Одежда;Жилет утепленный;Да;441654;169;134;1861.5;3296;0;100;14898;5;FBO;3;26.2;27.8;38.2;14214;1322;0;21.02;0;27.9;2024-09-10
Джинсы Feimailis;https://www.ozon.ru/product/1252411138;Feimailis;Одежда;Джинсы;Да;441635;2362;274;1168.5;1612;0;100;15482;10;FBO;3;3.3;24.2;34.5;22036;3113;0.07;19.59;0;36.2;2023-10-20
Джинсы The80`s;https://www.ozon.ru/product/1590136699;The80`s;Одежда;Джинсы;Да;441595;-9;257;1245;1718;0;100;15357;9;FBO;4;3.5;24.2;34.6;26533;5762;0.02;10.76;0;48.3;2024-05-30
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1627530952;by Arhangelskaya Alina;Одежда;Пальто;Да;441577;-47;37;11139;11935;50261;89;16754;1;FBO;6;23.4;19.4;27.9;14131;2907;0.02;5.29;0;44.4;2024-07-12
Куртка NUDESHOP;https://www.ozon.ru/product/1397768963;NUDESHOP;Одежда;Куртка;Да;441569;410;68;4068;6494;96244;82;19249;3;FBO;6;38.7;25.1;34.6;119605;5857;0;4.57;8;41.1;2024-01-22
Костюм спортивный;https://www.ozon.ru/product/1676171991;без бренда;Одежда;Костюм спортивный;Да;441537;307;109;2915.3;4051;95181;82;19036;5;FBO;4;9.5;22.7;32;35326;3842;0.02;7.8;0.7;52.3;2024-08-30
Куртка EledosKids;https://www.ozon.ru/product/1675733938;EledosKids;Одежда;Куртка;Да;441533;1554;58;6667.8;7613;93124;82;18625;2;FBO;6;33.6;23.8;33;9263;1014;0.01;15.18;0.2;52.6;2024-08-30
Платье IRINA REZNIKOVA;https://www.ozon.ru/product/417734786;IRINA REZNIKOVA;Одежда;Платье;Да;441531;325;105;3777.8;4205;0;100;15189;4;FBO;3;2;21.1;29.9;72204;7377;0.02;6.6;5.1;47.4;2021-12-08
Комбинезон Bona Fide;https://www.ozon.ru/product/1653466581;Bona Fide;Одежда;Комбинезон;Да;441387;43;53;6650.9;8328;0;100;15221;2;FBO;5;8.4;20.3;28.9;20973;2477;0;6.37;1.2;46;2024-08-09
Пуховик Hoops;https://www.ozon.ru/product/1636007926;Hoops;Одежда;Пуховик;Да;441375;169;29;13799.8;15220;73562;86;18391;1;FBO;7;7.6;17.6;26;11580;753;0.05;13.28;0;31;2024-07-23
Кардиган ZEYUKO Весь мир моды;https://www.ozon.ru/product/830497489;ZEYUKO;Одежда;Кардиган;Да;441370;73;285;1132.5;1549;0;100;15515;10;FBO,FBS;4;7.2;26.4;37.2;213519;10900;0.03;7.27;1.7;52.2;2023-01-03
Брюки All We;https://www.ozon.ru/product/1256175567;All We;Одежда;Брюки;Да;441349;127;189;1960;2335;0;100;15596;7;FBO;5;1.7;22.2;31.8;7628;7995;0.11;6.65;8.5;46.2;2023-10-23
Худи ТЕЛОДВИЖЕНИЯ;https://www.ozon.ru/product/1489736514;ТЕЛОДВИЖЕНИЯ;Одежда;Худи;Да;441181;114;222;37;1987;16451;96;16451;8;FBO;4;4.8;23.6;33.5;366162;13930;0.06;12.34;0.9;77.7;2024-03-21
Платье Bioage;https://www.ozon.ru/product/1605996046;Bioage;Одежда;Платье;Да;441173;-13;138;2390.3;3197;0;100;15462;5;FBO;4;13.1;24.4;34.1;74049;4873;0.01;8.24;0;40.8;2024-06-16
Куртка Мужской клуб;https://www.ozon.ru/product/1658937441;без бренда;Одежда;Куртка;Да;441171;208;97;3486.5;4548;0;100;15793;3;FBO;3;4.2;21.7;30.6;36629;5261;0.01;6.59;5.3;54.8;2024-08-15
Куртка кожаная STARK MEN;https://www.ozon.ru/product/1554933913;STARK MEN;Одежда;Куртка кожаная;Да;441128;-41;92;4502;4795;161254;71;20157;4;FBO;4;17;23.5;32.7;74218;5544;0.03;5.57;3.1;49.3;2024-04-22
Пуховик IVAYOU;https://www.ozon.ru/product/1646103400;IVAYOU;Одежда;Пуховик;Да;441103;606;70;3518;6301;32669;93;16335;3;FBO;5;21.6;23.2;32.3;73396;2415;0.01;9.06;1;40.5;2024-08-02
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1659212122;by Arhangelskaya Alina;Одежда;Пальто;Да;441023;132;38;10528;11606;0;100;15760;1;FBO;4;14;19.1;27.6;12885;3837;0.02;4.84;0;44.7;2024-08-15
Пуховик KingsWind;https://www.ozon.ru/product/1636806666;KingsWind;Одежда;Пуховик;Да;441002;376;48;8001;9188;16333;96;16333;2;FBO;3;15.5;20.5;29.1;16890;2065;0.04;6.24;1;56.8;2024-07-24
Джинсы ONE!JEANS;https://www.ozon.ru/product/802065865;ONE!JEANS;Одежда;Джинсы;Да;440976;2;214;1076;2061;51003;89;17001;8;FBO;3;2.7;22.9;32.7;63238;5151;0.01;8.75;15.1;46.6;2022-11-24
Пальто LOOK OF YOUNG;https://www.ozon.ru/product/296832153;LOOK OF YOUNG;Одежда;Пальто;Да;440964;112;154;2131.5;2863;51744;89;17248;6;FBO;5;7;23.3;32.9;54815;7229;0.01;9.51;0.1;35.1;2021-07-30
Куртка Shop Of Dom;https://www.ozon.ru/product/1611771546;Shop Of Dom;Одежда;Куртка;Да;440961;425;121;3041;3644;33188;93;16594;5;FBO;7;38;29.7;40.4;89834;9092;0.01;5.43;0;41.8;2024-06-23
Куртка BRAIBO;https://www.ozon.ru/product/1669649230;BRAIBO;Одежда;Куртка;Да;440948;416;63;6332;6999;118649;79;19775;3;FBO;4;45;25.7;35.2;59475;3613;0;6.44;5;55.7;2024-08-25
Куртка NUDESHOP;https://www.ozon.ru/product/1622984241;NUDESHOP;Одежда;Куртка;Да;440888;219;69;4418;6390;241903;64;24190;4;FBO;5;28.1;23.9;33.1;87176;7278;0.01;5.15;8.1;35.8;2024-07-07
Костюм спортивный Ивбэби;https://www.ozon.ru/product/856765291;Ивбэби;Одежда;Костюм спортивный;Да;440778;-27;212;1452.8;2079;0;100;14635;7;FBO;4;4.6;23.6;33.6;108213;11519;0.02;5.07;24.1;74.1;2023-02-07
Куртка Осенняя коллекция;https://www.ozon.ru/product/1403935914;без бренда;Одежда;Куртка;Да;440767;-34;98;4110;4498;230601;64;23060;5;FBO;5;17.5;23.8;33.1;21757;2835;0;10.01;0.2;46.2;2024-01-25
Дубленка искусственная ШУБА-ПОДРУГА Для женщин;https://www.ozon.ru/product/1616025023;ШУБА-ПОДРУГА;Одежда;Дубленка искусственная;Да;440703;Нет данных;26;15570;16950;208754;68;23195;1;FBO;3;25.4;18;26.5;28362;2726;0.03;6.45;1.9;42.3;2024-06-28
Пальто by Arhangelskaya Alina Женская коллекция;https://www.ozon.ru/product/1350895587;by Arhangelskaya Alina;Одежда;Пальто;Да;440696;10;38;10428.3;11597;0;100;14955;1;FBO;4;29.5;19.8;28.5;43731;2314;0.01;6.69;0;30.5;2023-12-20
Джемпер Relppy;https://www.ozon.ru/product/1628568459;Relppy;Одежда;Джемпер;Да;440689;105;174;2321;2533;52569;89;17523;7;FBO;4;3.2;22.6;32.2;74931;6394;0.02;9.96;1.6;60.8;2024-07-15
Джинсы Shop Top Denim;https://www.ozon.ru/product/1566147610;Shop Top Denim;Одежда;Джинсы;Да;440661;12;131;3077;3364;0;100;15487;5;FBO;3;4.8;22.2;31.4;6270;1666;0.04;23.34;0;23.3;2024-05-05
Куртка NUDESHOP;https://www.ozon.ru/product/1622984333;NUDESHOP;Одежда;Куртка;Да;440641;296;70;4412;6295;32072;93;16036;3;FBO;3;28.1;24;33.2;78266;17110;0.01;2.92;16.6;31.4;2024-07-07
Пуховик Milliant;https://www.ozon.ru/product/1622650978;Milliant;Одежда;Пуховик;Да;440611;49;21;19741;20981;0;100;14220;1;FBS;7;3.8;16.4;24.6;7216;1489;0.04;4.56;0;50;2024-07-06
Куртка HEYMclo Осенняя коллекция;https://www.ozon.ru/product/1486171451;HEYMclo;Одежда;Куртка;Да;440530;188;99;3512.8;4450;0;100;15289;3;FBO;3;25;25.1;34.7;86939;6107;0.01;4.87;1.8;37.5;2024-03-20
Куртка TravelDen Сollection Осень;https://www.ozon.ru/product/1623787448;TravelDen Сollection;Одежда;Куртка;Да;440522;25;92;4188;4788;237724;64;23772;5;FBO;5;12;22.6;31.6;32460;5564;0.02;6.61;0;26.1;2024-07-08
Пальто SEYFRIED BRAND Одежда для женщин;https://www.ozon.ru/product/1423377671;SEYFRIED BRAND;Одежда;Пальто;Да;440502;99;68;5684;6478;31942;93;15971;2;FBO;4;23;23.2;32.2;27221;4464;0.01;4.03;0;40.9;2024-02-15
Дубленка искусственная ebo style Авиатор;https://www.ozon.ru/product/1694863212;ebo style;Одежда;Дубленка искусственная;Да;440495;2554;75;4975;5873;0;100;15768;3;FBO,FBS;7;14.6;22.5;31.5;38794;4579;0.03;8.16;0;50.7;2024-09-16
Костюм классический MaroStile Новая коллекция;https://www.ozon.ru/product/1206412166;MaroStile;Одежда;Костюм классический;Да;440428;-50;117;2880;3764;0;100;15156;4;FBO;3;7;22.3;31.4;58008;5802;0.07;6.99;3.4;22.4;2023-09-23
Дождевик HIDENT;https://www.ozon.ru/product/863238935;HIDENT;Одежда;Дождевик;Да;440420;2;492;636;895;0;100;14561;16;FBO;3;2.4;27.3;39.8;109578;6452;0.08;9.42;1.7;90.7;2023-02-14
Пуховик Talifeck;https://www.ozon.ru/product/1636779672;Talifeck;Одежда;Пуховик;Да;440185;211;50;8001;8804;0;100;15721;2;FBO;4;15.5;20.9;29.5;26282;1477;0.02;9.2;0.8;68;2024-07-24
Куртка;https://www.ozon.ru/product/1162271091;без бренда;Одежда;Куртка;Да;440171;333;149;2296;2954;49790;89;16597;6;FBO;4;11.2;24.5;34.3;80238;3526;0.01;10.72;2.8;53.4;2023-08-30
Брюки утепленные KRUTTO Подростковые;https://www.ozon.ru/product/1350621506;KRUTTO;Одежда;Брюки утепленные;Да;440170;15047;324;801;1359;33729;93;16865;12;FBO,FBS;5;4.4;25.8;36.8;17868;2735;0.06;22.37;0.5;77.6;2023-12-20
Дубленка искусственная OSSOBA;https://www.ozon.ru/product/1681317019;OSSOBA;Одежда;Дубленка искусственная;Да;440165;372;32;7897;13755;275897;61;25082;2;FBO;5;36;19.5;28.2;50510;4437;0.01;4.37;16.7;67.7;2024-09-04
Платье SHI store;https://www.ozon.ru/product/1563271573;SHI store;Одежда;Платье;Да;440158;-4;113;3204.9;3895;0;100;15178;4;FBO;4;0.6;21.1;30;79950;4252;0.01;9.5;2.4;45.2;2024-04-30
Худи ТЕЛОДВИЖЕНИЯ;https://www.ozon.ru/product/877989834;ТЕЛОДВИЖЕНИЯ;Одежда;Худи;Да;440137;61;202;1596;2179;0;100;15308;7;FBO;3;10.8;25.6;35.9;84571;7018;0.02;8.05;0;47.4;2023-02-28
Куртка MONOMIR Осенняя коллекция;https://www.ozon.ru/product/1419019589;MONOMIR;Одежда;Куртка;Да;440080;-3;102;2384.5;4315;88855;82;17771;4;FBO;5;31;26.1;35.9;82305;6466;0.01;6.58;0;53.5;2024-02-09
Куртка BELUXSTAR;https://www.ozon.ru/product/1654024962;BELUXSTAR;Одежда;Куртка;Да;440056;107;97;3554;4537;33575;93;16787;4;FBO;4;14.5;23.3;32.5;66420;5539;0.01;6.24;5.2;39.5;2024-08-09
Пуховик UNIQOD;https://www.ozon.ru/product/1097809259;UNIQOD;Одежда;Пуховик;Да;440022;129;62;6383;7097;0;100;15026;2;FBO;4;10.1;21.6;30.4;32117;1982;0;8.32;0.5;36.8;2023-07-25
Куртка AMBEL;https://www.ozon.ru/product/1451603516;AMBEL;Одежда;Куртка;Да;440000;30;218;1401.8;2018;15978;96;15978;8;FBO,FBS;5;14.4;27.8;38.6;77967;6930;0.02;8.08;0;67.1;2024-03-05
Пальто TheCove;https://www.ozon.ru/product/1656234248;TheCove;Одежда;Пальто;Да;439977;-7;76;4782.6;5789;72340;86;18085;3;FBO;3;7.8;21.5;30.3;51990;1692;0.01;11.4;0;32.8;2024-08-12
Брюки ADMin Ваше здоровье в ваших руках!;https://www.ozon.ru/product/1616573084;ADMin;Одежда;Брюки;Да;439968;1091;366;844.5;1202;0;100;15608;13;FBO;4;2.9;25.4;36.5;116677;36309;0.01;4.45;24.3;57.5;2024-06-29
Джинсы Bona Fide;https://www.ozon.ru/product/1075853191;Bona Fide;Одежда;Джинсы;Да;439964;89;57;6899;7719;0;100;14885;2;FBO;3;3.8;20.2;28.7;43815;6503;0.02;4.07;5.6;34.6;2023-07-12
Пальто I'M COMOKOD WOMAN Черный;https://www.ozon.ru/product/1407630431;I'M COMOKOD WOMAN;Одежда;Пальто;Да;439884;-1;98;3592;4489;0;100;15563;3;FBO;3;13.1;23.1;32.4;71300;4231;0.01;6.47;0;34.3;2024-01-29
Пуховик Zolla;https://www.ozon.ru/product/1204603379;Zolla;Одежда;Пуховик;Да;439802;99;154;2268;2856;316804;57;26400;9;FBO;6;37.9;31.6;42.8;79355;5130;0.03;5.75;0;52;2023-09-22
Куртка THE PUH;https://www.ozon.ru/product/1611365945;THE PUH;Одежда;Куртка;Да;439784;905;24;15505;18324;0;100;15707;1;FBO;4;27;17.6;26;12853;2994;0.03;5.24;0;45.8;2024-06-22
Куртка BRADLY;https://www.ozon.ru/product/1555908402;BRADLY;Одежда;Куртка;Да;439782;28;120;2883;3665;0;100;15473;4;FBO;3;26.7;26.9;37;55866;3298;0.02;8.94;4.5;49.5;2024-04-23
Легинсы OLESYANEL;https://www.ozon.ru/product/1163551258;OLESYANEL;Одежда;Легинсы;Да;439719;Нет данных;262;348.2;1678;52946;89;17649;10;FBO;4;1.1;23.2;33.4;5655;1771;0.24;41.33;0;68.7;2023-08-31
